id,title_romaji,title_english,episodes,status,average_score,popularity,favourites,genres,studios,source,season,start_date,end_date
175019,Nageki no Bourei wa Intai Shitai,Let This Grieving Soul Retire,13.0,RELEASING,65.0,29861,631,"Action, Comedy, Fantasy","Avex Pictures, Zero-G, GREE Entertainment, Micro Magazine Sha, TOKYO MX, Zero-G, Saber Links, BS Nittele",LIGHT_NOVEL,FALL,2024-9-29,2024-12-22
175124,Nyaight of the Living Cat,Nyaight of the Living Cat,,NOT_YET_RELEASED,,882,3,Horror,"Sony Pictures Entertainment, OLM, Slow Curve",MANGA,,2025-None-None,None-None-None
175198,Übel Blatt,,,NOT_YET_RELEASED,,6803,71,"Action, Adventure, Drama, Ecchi, Fantasy","Satelight, Staple Entertainment, Pony Canyon",MANGA,WINTER,2025-1-11,None-None-None
175409,"Douse, Koishite Shimaunda.","Anyway, I'm Falling in Love with You",,NOT_YET_RELEASED,,3153,23,"Drama, Romance","TBS, TYPHOON GRAPHICS",MANGA,WINTER,2025-1-10,None-None-None
175422,Baban Baban Ban Vampire,,,NOT_YET_RELEASED,,1982,12,"Comedy, Romance, Supernatural","Gaina, TV Asahi, Bit Grooove Promotion",MANGA,WINTER,2025-1-11,None-None-None
175443,Honey Lemon Soda,Honey Lemon Soda,,NOT_YET_RELEASED,,12182,59,Romance,"J.C. Staff, UNLIMITED PRODUCE by TMS",MANGA,WINTER,2025-1-9,None-None-None
175533,The iDOLM@STER: Shiny Colors 2nd season,THE iDOLM@Ster SHINY COLORS Season 2,12.0,RELEASING,56.0,1606,24,Music,"POLYGON PICTURES, Bandai Namco Entertainment",VIDEO_GAME,FALL,2024-10-5,2024-12-21
175868,Tensui no Sakuna-hime,Sakuna: Of Rice and Ruin,13.0,FINISHED,66.0,6371,90,"Action, Fantasy","P.A. Works, Toho, TV Tokyo, Qrout",VIDEO_GAME,SUMMER,2024-7-6,2024-9-28
175872,"Isshun de Chiryou Shiteita no ni Yakutatazu to Tsuihou Sareta Tensai Chiyushi, Yami Healer Toshite Tanoshiku Ikiru",,,NOT_YET_RELEASED,,3189,56,"Action, Comedy, Fantasy","Shouchiku, Makaria",LIGHT_NOVEL,SPRING,2025-4-None,None-None-None
175914,Yofukashi no Uta 2nd Season,,,NOT_YET_RELEASED,,14404,183,"Comedy, Psychological, Romance, Slice of Life, Supernatural",,MANGA,,None-None-None,None-None-None
